run,best
0,9.186e-31
0,9.186e-31
0,9.186e-31
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
0,1.49976e-32
1,1.46857
1,0.768517
1,0.768517
1,0.768517
1,0.336564
1,0.336564
1,0.174209
1,0.174209
1,0.0823516
1,0.0758618
1,0.0758618
1,0.0758618
1,0.074411
1,0.074411
1,0.0275766
1,0.0275766
1,0.0275766
1,0.0142046
1,0.0142046
1,0.0142046
1,0.0142046
1,0.0133249
1,0.007216
1,0.00512603
1,0.00480356
1,0.00397116
1,0.00370704
1,0.00370704
1,0.0035785
1,0.0035785
1,0.0035785
1,0.0035785
1,0.0035785
1,0.0032903
1,0.0032903
1,0.0032903
1,0.0032903
1,0.00102912
1,0.00102912
1,0.00102912
1,0.000740075
1,0.000740075
1,0.000740075
1,0.000740075
1,0.000271924
1,0.000247906
1,0.000247906
1,0.000244587
1,0.000244587
1,0.000233521
1,0.00012364
1,0.000122524
1,0.000119483
1,0.000109918
1,0.000109918
1,8.38211e-05
1,2.95139e-05
1,2.95139e-05
1,2.32281e-05
1,1.87355e-05
1,1.87355e-05
1,1.86622e-05
1,1.83265e-05
1,1.03629e-05
1,1.03629e-05
1,4.39283e-06
1,4.39283e-06
1,4.39283e-06
1,4.39283e-06
1,2.12387e-06
1,2.12387e-06
1,2.12387e-06
1,2.12387e-06
1,5.89306e-07
1,5.3336e-07
1,4.54676e-07
1,4.54676e-07
